id,name,date_release,book_rating,book_genres,description,author,photo,ebup
193,Кровь Василиска. Том 4,2024 год.,4.81,"Попаданцы, Боевое фэнтези

","Проклятые Земли. Я столько слышал про них, теперь у меня есть шанс их увидеть. Хочу ли я? Еще как!!! Особенно, в хорошей компании.",Тайниковский,https://flibusta.su/b/img/big/212552.jpg,https://flibusta.su/book/212552-krov-vasiliska-tom-4/d/?f=epub
194,Искажающие Реальность – 12,2024 год.,4.87,"Боевая фантастика, Киберпанк, Космическая фантастика

","Итак, отпущенное время защиты Земли неумолимо заканчивается. Фигуры на доске большой космической политики расставлены, список врагов и друзей давно определён. На защиту нашей общей Родины поднимаются земные фракции, с ними плечом-к-плечу встают люди других миров, миелонцы, гэкхо, джарги, клоопы, эститы, кристаллиды - все те, кого сумел убедить кунг Земли. Вот только и враг крайне силён - мелеефаты, триллы и ""композит"" объединяются, чтобы подавить в самом зародыше новую быстро прогрессирующую силу галактики. Сумеет ли наша родная планета отбиться от могущественных и агрессивных космических хищников, желающих поработить людей Земли или даже полностью уничтожить наш мир? Читайте в финальной книге цикла ""Искажающие Реальность""!!! ",Михаил Атаманов,https://flibusta.su/b/img/big/197054.jpg,https://flibusta.su/book/197054-iskazhayuschie-realnost12/d/?f=epub
195,"Все ведьмы – стервы, или Демона мы (не) вызывали",2024 год.,5.0,"Любовное фэнтези, Магические академии, Юмористическое фэнтези

","И как меня угораздило вызвать высшего демона?! Что? Этот наглый индивид готов участвовать в моих экспериментах и даже предоставить для этого свой хвост?! Что ж, мы — ведьмы — существа очень любопытные. Но пусть он ни на что не надеется! Хвост мне нужен только в научных целях! Эй-эй, демон! Ты сам мне его предложил! И это еще не повод выходить за тебя замуж!Это 3-я книга цикла ""Все ведьмы - стервы""Все книги цикла МОЖНО читать ОТДЕЛЬНО.",Катерина Цвик,https://flibusta.su/b/img/big/212308.jpg,https://flibusta.su/book/212308-vse-vedmyistervyi-ili-demona-myi-ne-vyizyivali/d/?f=epub
196,Антидемон. Книга 2,2023 год.,4.82,"Боевое фэнтези, Книги про волшебников, Попаданцы

","Эйсон и Эрли покидают свой город – пора отправляться в столицу, поступать в Королевскую Академию Магии. Дорога дальняя, и, конечно, без приключений не обойтись! Да и поступление в самую элитную академию королевства не будет простой формальностью для обладателя демонического источника, не говоря уже об учебе в ней.",Серж Винтеркей,https://flibusta.su/b/img/big/148431.jpg,https://flibusta.su/book/148431-antidemon-kniga-2/d/?f=epub
197,"Всё закончится, а ты нет. Книга силы, утешения и поддержки",2023 год.,4.73,"Психотерапия, Саморазвитие, Личностный рост, Психология

","«Всё закончится, а ты нет» – это книга-подорожник для тех, кто переживает темную ночь души. ",Ольга Примаченко,https://flibusta.su/b/img/big/176353.jpg,https://flibusta.su/book/176353-vsyo-zakonchitsya-a-tyi-net-kniga-silyi-utesheniya-i-podderzhki/d/?f=epub
198,Помещик. Том 5. Воевода,2024 год.,4.83,"Историческая фантастика, Боевая фантастика, Попаданцы, Социальная фантастика

","Жизнь и приключения Андрея продолжаются. Выиграв судебный поединок и став воеводой Тулы новоиспеченный граф Триполи берется за дела, стремясь как можно скорее реформировать и полк, и город, обеспечив для Руси мощную защиту от степи. Но сталкивается с куда более мощным и опасным противником, нежели раньше. С врагом, который, как известно, прячется там, где меньше всего ожидаешь его увидеть… Справится ли Андрей? Выживет ли? Устоит ли, встретившись лицом к лицу с самым страшным врагом Руси?",Михаил Ланцов,https://flibusta.su/b/img/big/213323.jpg,https://flibusta.su/book/213323-pomeschik-tom-5-voevoda/d/?f=epub
199,Разведчик барона,2024 год.,4.81,"Боевая фантастика, Боевое фэнтези, Героическая фантастика, Космическая фантастика, Научная фантастика

","После очень непростого перехода через Змеиный лес охотник за артефактами Сергей Белов наконец попадает в город. Это открывает перед ним новые возможности, но одновременно грозит и множеством опасностей. Его ждет сложный разговор в Особой канцелярии барона, а сотрудников тайной службы вряд ли можно назвать приятными собеседниками. От результатов этой беседы, а вернее, допроса, зависит очень многое, так что позволить себе ошибиться Сергей не может. Ему нужно получить лицензию охотника за головами и при этом не лишиться добытого в походе весьма недешевого трофея. Это очень непростая задача, особенно с учетом того, с какой организацией Сергею предстоит иметь дело.",Макс Глебов,https://flibusta.su/b/img/big/197053.jpg,https://flibusta.su/book/197053-razvedchik-barona/d/?f=epub
200,Помещик. Том 4. Сотник,2024 год.,4.78,"Историческая фантастика, Боевая фантастика, Попаданцы, Социальная фантастика

",Продолжение истории Андрея Прохорова. Провернув успешную кампанию 1554 года в степи и немало пощипав людоловов он обрел репутацию и стал сотником Тульского полка. Но покой ему только снился. Ибо впереди кампания 1555 года…,Михаил Ланцов,https://flibusta.su/b/img/big/213028.jpg,https://flibusta.su/book/213028-pomeschik-tom-4-sotnik/d/?f=epub
201,Наследнички 3,2024 год.,4.83,"Боевое фэнтези, Городское фэнтези, Книги о приключениях

","Впереди обучение у непростых наставников. Разве может что-то пойти не так? Вот и братья Орловы уверены, что на этот раз всё будет чинно и даже в какой-то мере скучно.",Алекс Ключевской (Лёха),https://flibusta.su/b/img/big/212220.jpg,https://flibusta.su/book/212220-naslednichki-3/d/?f=epub
202,Кровь Василиска. Том 1,2024 год.,4.7,"Боевое фэнтези, Попаданцы

","Прошлая жизнь… Да-да, у меня была прошлая жизнь. Жизнь, полная боли и страданий, подвигов и предательств. Убей или умри. Вырви глотку врагу или сдохни сам. Я выжил. Я стал, возможно, лучшим в своем деле, но… Всегда есть чертово «но»… Можно много говорить про то, что я был один против всего мира, но это отговорки для слабых. Я просто не справился. И поэтому умер.",Тайниковский,https://flibusta.su/b/img/big/208025.jpg,https://flibusta.su/book/208025-krov-vasiliska-tom-1/d/?f=epub
203,Звездная Кровь-2. Фригольд,2023 год.,4.88,"Боевая фантастика, Героическое фэнтези, Киберпанк

","Оказывается, это не Земля.",Роман Прокофьев,https://flibusta.su/b/img/big/151785.jpg,https://flibusta.su/book/151785-zvezdnaya-krov-2-frigold/d/?f=epub
204,Помещик. Том 8. Мир-о-творец,2024 год.,5.0,"Историческая фантастика, Боевая фантастика, Попаданцы, Социальная фантастика

","Ситуация накаляется. Ставки повышаются. Русь охвачена войной. Нарастающий кризис Восточной Европы, Балкан и Малой Азии разрушил устоявшийся баланс сил. Московская Русь сцепилась с Литовской. Османская Империя рухнула, оставив после себя хаос и бардак. Андрея Прохорова же загнали в угол и попытались заставить играть по своим правилам. Просто использовать. Справится ли он? Сумеет ли навести порядок и утвердить мир? Свой мир…",Михаил Ланцов,https://flibusta.su/b/img/big/213584.jpg,https://flibusta.su/book/213584-pomeschik-tom-8-mir-o-tvorets/d/?f=epub
205,Прибытие,2024 год.,5.0,"Боевое фэнтези, Боевая фантастика, Героическое фэнтези

","Предупреждение от автора: Это дилогия, эксперимент на стыке нескольких жанров. Съездили на охоту с дедом, называется. Мир другой, законы другие. Магия ещё, будь она неладна. Кланы какие-то. Только вот знакомые деду старые попадаются, ещё с времен войны. Правда, они при встрече убить друг друга хотят, но это ничего, дело житейское.",Алекс Ключевской (Лёха),https://flibusta.su/b/img/big/214127.jpg,https://flibusta.su/book/214127-pribyitie/d/?f=epub
206,"А вот и я, дракон!",2023 год.,4.99,"Любовное фэнтези, Фэнтези про драконов

","Даже без пяти минут специалист-артефактор не может упустить возможность погадать на жениха. Вот и Велава с подругами не удержалась. Жребий вытянут, свеча зажжена, и является серьезной студентке магическое зеркало. То, которое покажет истинную пару и поможет сдать проект на отлично.",Ника Ёрш,https://flibusta.su/b/img/big/189432.jpg,https://flibusta.su/book/189432-a-vot-i-ya-drakon/d/?f=epub
207,Тоннель,2024 год.,4.38,"Триллеры

","Яна Вагнер – прозаик, автор антиутопий-бестселлеров «Вонгозеро» и «Живые люди», детектива «Кто не спрятался». Ее книги переведены на 17 языков. «Тоннель» – новый роман, на этот раз – герметичный триллер.",Яна Вагнер,https://flibusta.su/b/img/big/209985.jpg,https://flibusta.su/book/209985-tonnel/d/?f=epub
208,Сын Петра. Том 1. Бесенок,2024 год.,4.66,"Историческая фантастика, Попаданцы, Социальная фантастика

","Конец XVII века. Петр пытается отвернуть корабль России от рифов, на которые тот идет полным ходом. Наматывая на штурвал слишком длинные бороды. Местами с хрустящими тушками. Отчего ворочать им становиться все труднее и труднее. В этот момент и появляется наш современник с холодной головой, горячим сердцем и чистой совестью. Держа в своих руках ножницы, которыми собирается отстригать эти самые бороды. Местами вместе с головами. Он пока юн. Слишком юн, чтобы мир осознал свое счастье. И ножницы в его руках пока маникюрные. Но сын Петра обновился. И он вступает в игру…",Михаил Ланцов,https://flibusta.su/b/img/big/353717.jpg,https://flibusta.su/book/353717-syn-petra-tom-1-besenok/d/?f=epub
209,Совершенные,2023 год.,4.85,"Городское фэнтези, Фантастические романы, Любовное фэнтези

","Кассандра Вэйлинг из Нью-Касла – «золотая девочка» города, ведь ее папа – градоначальник, а мама – самый известный в Империи Миротворец. Кассандра – красивая, дерзкая и самоуверенная, в нее влюблен «король» колледжа, а ее будущее кажется совершенно безоблачным.Кассандру ждет прекрасная жизнь.Или… нет?Грядет День цветущей вишни, несущий перемены. И приближается тот, кто все изменит.",Марина Суржевская,https://flibusta.su/b/img/big/145117.jpg,https://flibusta.su/book/145117-sovershennyie/d/?f=epub
210,Девочка с куклами,2024 год.,4.57,"Триллеры, Современные детективы

","Февральский День всех влюблённых ознаменовался ужасным происшествием: в запертой квартире была обнаружена мёртвая девушка по имени Виктория Рыкова. Её смерть вряд ли бы привлекла внимание, если не поразительные обстоятельства – Виктория полулежала на кровати, одетая в воздушное белое платье и окружённая шестью нарядными куклами. Всё говорило о том, что несчастная покончила с собой, и это подтверждал дневник Вики, где она подробно описала день, час и обстоятельства своей будущей смерти. Следствие склонялось к версии самоубийства, но майор Феликс Вербин имел другое мнение. Он считал, что у девушки не было причин добровольно расстаться с жизнью, к тому же из-за страшных видений Вика избегала кукол, так откуда же взялись те, которые сидели вокруг нее на смертном ложе? Кто их купил? За что надо было убивать красивую молодую девушку? Кому могла насолить юная студенточка? Что же на самом деле произошло в ее квартире в День святого Валентина?",Вадим Панов,https://flibusta.su/b/img/big/215474.jpg,https://flibusta.su/book/215474-devochka-s-kuklami/d/?f=epub
211,Антидемон. Книга 6,2023 год.,4.71,"Боевое фэнтези, Книги про волшебников, Попаданцы

","Вылазки в порталы становятся все более рискованными, но Эйсон считает, что это того стоит. Могущественный клан «Воздушников» переходит все возможные границы и Эйсон предпринимает масштабную операцию, связанную с огромным риском, чтобы защитить свою сестру. Удастся ли ему обвести вокруг пальца следователей Королевского корпуса стражей?",Серж Винтеркей,https://flibusta.su/b/img/big/174555.jpg,https://flibusta.su/book/174555-antidemon-kniga-6/d/?f=epub
212,Турнир для сиротки,2023 год.,4.81,"Любовное фэнтези, Магические академии, Юмористическое фэнтези

","У меня, первокурсницы Академии Стихий и вчерашней ученицы ПТУ магической уборки, очень много проблем!",Александра Черчень,https://flibusta.su/b/img/big/179763.jpg,https://flibusta.su/book/179763-turnir-dlya-sirotki/d/?f=epub
213,Кровь Василиска. Том 3,2024 год.,4.79,"Попаданцы, Боевое фэнтези

","Что ж. Не долго музыка играла, не долго Василиск отдыхал. Мироздание закинуло меня в нужное время и нужное место для того, чтобы совершить справедливую месть. Возможно, как благодарность за мой второй шанс, возможно – просто из моего обостренного чувства справедливости.",Тайниковский,https://flibusta.su/b/img/big/210365.jpg,https://flibusta.su/book/210365-krov-vasiliska-tom-3/d/?f=epub
214,Антидемон. Книга 3,2023 год.,4.81,"Боевое фэнтези, Книги про волшебников, Попаданцы

","Подготовка к будущей войне с высшими демонами идет полным ходом. Эйсон развернулся не на шутку, сколачивая команду соратников. Днем он усидчивый и прилежный студент, ночью – охотник на монстров, в том числе в человеческом обличье.",Серж Винтеркей,https://flibusta.su/b/img/big/155910.jpg,https://flibusta.su/book/155910-antidemon-kniga-3/d/?f=epub
215,Я тебя заберу,2023 год.,4.95,"Эротические романы, Короткие романы, Совр. романы

",– Мы с мужем хотим ребенка. – Второй раз повторяет пациентка.,Марья Коваленко,https://flibusta.su/b/img/big/198346.jpg,https://flibusta.su/book/198346-ya-tebya-zaberu/d/?f=epub
216,Кровь Василиска. Том 5,2024 год.,4.87,"Попаданцы, Боевое фэнтези

","Проклятые Земли… Странный новый континент, что возник в этом мире в результате магической войны, которая чуть не уничтожила всё человечество. Другие растения, другие животные и даже другие люди живу там. Но, что их всех объединяет – они все смертельно опасны для нас, людей.",Тайниковский,https://flibusta.su/b/img/big/212733.jpg,https://flibusta.su/book/212733-krov-vasiliska-tom-5/d/?f=epub
217,"Истинная для демона, или Коснись моих воспоминаний",2023 год.,4.93,"Любовное фэнтези

","Выйти замуж за короля, чтобы спасти родное королевство от смуты?",Наталья Мамлеева,https://flibusta.su/b/img/big/170772.jpg,https://flibusta.su/book/170772-istinnaya-dlya-demona-ili-kosnis-moih-vospominaniy/d/?f=epub
218,Тень колдуна,2024 год.,4.89,"Детективное фэнтези, Мистика, Современные детективы, Триллеры

","Агентство «Мистерио» по расследованию мистических случаев получает задание почистить участок шоссе, на котором случилось много аварий. На первый взгляд, все чисто, однако что-то притягивает новые несчастья. В это же время в агентство обращается мужчина, потерявший любимую. Молодой человек рассказывает историю о некой сущности, которая якобы убила его девушку. Два разных дела оказываются связаны общим местом действия. Команда берется за расследование, рискуя столкнуться с опасным врагом. Куда на этот раз заведет новое дело? И все ли выйдут живыми из этой схватки?",Наталья Калинина,https://flibusta.su/b/img/big/353720.jpg,https://flibusta.su/book/353720-ten-kolduna/d/?f=epub
219,Блоха на балу,2024 год.,5.0,"Иронические детективы, Современные детективы

",71-я книга из цикла «Любительница частного сыска Даша Васильева».,Дарья Донцова,https://flibusta.su/b/img/big/213479.jpg,https://flibusta.su/book/213479-bloha-na-balu/d/?f=epub
220,Свет мой тишина,2023 год.,4.67,"Современные детективы

","Я и Владан Марич вместе прошли через многое. Теперь нам предстоит разобраться, чей труп обнаружен в пруду около дома состоятельной семьи и кому было выгодно утопить женщину. Новая заказчица подозревает, что ее муж убил свою любовницу. Она надеется получить основания для выгодного развода, однако в ходе этой истории легко приобрести только ночные кошмары…",Анна Полякова,https://flibusta.su/b/img/big/184819.jpg,https://flibusta.su/book/184819-svet-moy-tishina/d/?f=epub
221,Антидемон. Книга 4,2023 год.,4.83,"Боевое фэнтези, Книги про волшебников, Попаданцы

","Ни один день в столице у Эйсона не обходится без приключений, и поездка на практику не стала исключением. Бандиты и аристократы, монстры и маги – как сговорились сделать его жизнь насыщенней. Враги сильны и потери неизбежны, но и ответ будет жестким и беспощадным!",Серж Винтеркей,https://flibusta.su/b/img/big/167766.jpg,https://flibusta.su/book/167766-antidemon-kniga-4/d/?f=epub
222,Секрет ведьмы,2023 год.,4.76,"Городское фэнтези, Любовное фэнтези

","Благими намерениями вымощена дорога… Да, да, именно туда.Кто же знал, что бросившись на помощь старушке, я получу в благодарность, или наказание, смотря с какой стороны посмотреть, её дар. А вместе с ним кучу врагов *зачеркнуто* дорогих родственников, от которых этот самый дар так неожиданно ускользнул.Вся надежда лишь на одного подозрительного типа. Чует моё сердце, не так он прост, как кажется и хранит какой-то секрет.",Татьяна Серганова,https://flibusta.su/b/img/big/180011.jpg,https://flibusta.su/book/180011-sekret-vedmyi/d/?f=epub
223,Антидемон. Книга 5,2023 год.,4.83,"Боевое фэнтези, Книги про волшебников, Попаданцы

","Эйсон все ближе к тому, чтобы отомстить убийце своего отца. Нарастает градус противоречий и с могущественными кланами. Ставки все выше, риска все больше, но Эйсон считает, что готов к этому.",Серж Винтеркей,https://flibusta.su/b/img/big/170758.jpg,https://flibusta.su/book/170758-antidemon-kniga-5/d/?f=epub
224,Незаконный наследник. Путь к власти. Том 2,2024 год.,4.91,"Боевая фантастика, Попаданцы

","Заключительная книга цикла о незаконном наследнике.Император умирает, ему нужно оставить дела для своего приемника в полном порядке. Да и Косте нужно подготовиться. ",Алекс Ключевской (Лёха),https://flibusta.su/b/img/big/204413.jpg,https://flibusta.su/book/204413-nezakonnyiy-naslednik-put-k-vlasti-tom-2/d/?f=epub
225,"Невеста Черного Герцога, или Попала в драконий переплет!",2024 год.,4.75,"Фантастические романы, Любовное фэнтези, Попаданцы

","Умерев в своем мире, я попала в другой. В подарок мне достался редкий колдовской дар и ворох проблем. Драконы ведут охоту за такими как я, и теперь мне нужно решить – достоин ли Черный Герцог моего доверия. Сможем ли мы работать вместе или он тоже захочет посадить меня под замок?Ферхард Эльтамру, Черный Герцог, безуспешно ищет спасения для своей племянницы, и, одновременно, пытается найти убийц брата. Он не искал себе ни невесты, ни сообщницы. Но, одним ясным зимним днем, ему в руки свалилось счастье.Правда, что это именно счастье он узнал значительно позже… Пока что он просто смотрел на девицу, что выпрыгнула из окна банка:– Я бы, на вашем месте, выбрал другое время для ограбления.",Наталья Андреевна Самсонова,https://flibusta.su/b/img/big/214280.jpg,https://flibusta.su/book/214280-nevesta-chernogo-gertsoga-ili-popala-v-drakoniy-pereplet/d/?f=epub
226,Корень зла среди трав,2023 год.,4.53,"Классические детективы, Современные детективы

","В далеком 1951 году профессор ботаники Кантемиров во время экспедиции на Домбай-Ульген был обвинен в жестоких убийствах трех женщин. С помощью влюбленной в него аспирантки Ниночки профессору удалось бежать в Москву, где с него сняли все подозрения…",Татьяна Степанова,https://flibusta.su/b/img/big/182785.jpg,https://flibusta.su/book/182785-koren-zla-sredi-trav/d/?f=epub
227,Свет в ее глазах,2023 год.,5.0,"Совр. романы, Эротические романы

","Он разбил мое сердце. Я убедилась, что все легенды о властном, грубом и бессердечном Блейке Джефферсоне – правда. Мне потребовался год, чтобы покончить с болью и забыть его. Но когда я наконец решила двигаться дальше, он снова появился в моей жизни. Я хочу придушить его, а он с радостью скинул бы меня с крыши самого высокого здания в Нью-Йорке.Надеюсь, мы оба возобладаем над своими чувствами, ведь теперь мы вынуждены работать вместе.Продолжение истории «Тьма в его сердце».",Селина Аллен,https://flibusta.su/b/img/big/156029.jpg,https://flibusta.su/book/156029-svet-v-ee-glazah/d/?f=epub
228,АтакА &amp; Исключительная,2024 год.,4.86,"Героическая фантастика, Остросюжетные романы, Триллеры

",<b>Книга 1: “АтакА”.</b>,Anne Dar,https://flibusta.su/b/img/big/209967.jpg,https://flibusta.su/book/209967-ataka---isklyuchitelnaya/d/?f=epub
229,Улей,2023 год.,4.83,"Остросюжетные романы, Триллеры, Совр. романы, Эротические романы

","В один ничем не примечательный пятничный вечер Нина Даль, самая обычная девушка, садится в такси… И на этом банальном моменте ее размеренная жизнь резко обрывается.",Алекс Д,https://flibusta.su/b/img/big/146966.jpg,https://flibusta.su/book/146966-uley/d/?f=epub
230,Жажда власти 5. Фрагментация,2024 год.,4.57,"Боевая фантастика, Героическая фантастика, Космическая фантастика

","Император убит, а Вечная Империя под ударом. Все сопредельные цивилизации, от Роя Ххзутов до разумных камней из Массива Тс, стремятся урвать лакомый кусок, грабя и захватывая приграничные области попавшего в беду государства.",Сергей Тармашев,https://flibusta.su/b/img/big/186616.jpg,https://flibusta.su/book/186616-zhazhda-vlasti-5-fragmentatsiya/d/?f=epub
231,"Фамильяр по вызову, или Убери от меня свой хвост!",2023 год.,4.97,"Книги о приключениях, Любовное фэнтези, Юмористическое фэнтези

","Обретение фамильяра — главное событие в жизни ведьмы, от него без преувеличения зависит все ее будущее.Лично я мечтала о коте, большом, черном и пушистом, как у бабулечки. Но вместо кота появился ОН! Демон-инкуб, у которого на уме только одно! И помогать он может исключительно за то самое!А я не такая! Я хочу кота!",Юлия Журавлева,https://flibusta.su/b/img/big/186640.jpg,https://flibusta.su/book/186640-familyar-po-vyizovu-ili-uberi-ot-menya-svoy-hvost/d/?f=epub
232,Божья коровка. Книга 2,2023 год.,4.73,"Попаданцы

","Анатолий Фёдорович Дроздов – известный писатель-фантаст, работающий в разных жанрах. Представляем роман «Божья коровка», написанный в смешанном жанре «попаданчества» и альтернативной истории.",Анатолий Дроздов,https://flibusta.su/b/img/big/179777.jpg,https://flibusta.su/book/179777-bozhya-korovka-kniga-2/d/?f=epub
233,Железное пламя,2023 год.,4.68,"Боевое фэнтези, Young adult, Героическое фэнтези, Зарубежное фэнтези, Любовное фэнтези, Фэнтези про драконов

","Никто не ожидал, что Вайолет Сорренгейл выживет в Военной академии Басгиат, включая саму Вайолет. Но как драконы устанавливают собственные законы, так и Вайолет устанавливает свои правила. Тем более что у нее есть определенные преимущества – ум, железная воля, преданные друзья и любовь Ксейдена Риорсона. Однако одной решимости выжить становится мало. Ведь Вайолет знает столько тайн, что голова кругом! И даже драконьего огня может оказаться недостаточно, чтобы спалить всех ее врагов. Что ж, добро пожаловать в революцию!",Ребекка Яррос,https://flibusta.su/b/img/big/204923.jpg,https://flibusta.su/book/204923-zheleznoe-plamya/d/?f=epub
234,Второй шанс. Книга вторая,2023 год.,4.76,"Любовное фэнтези, Магические академии, Юмористическое фэнтези

","Дрожащая и сломленная леди Сибилла, все же решила оставить последнее слово за собой:– Она всего лишь сиротка из затрапезного Суассона, а я…– Асьен – мой человек! – отчеканил Каенар. – Но ты не ограничилась попыткой навредить лишь ей одной и поставила под угрозу жизнь самого ценного и преданного из моих людей. И не пытайся сейчас свалить вину на женскую ревность и неадекватность поступков по причине этой самой ревности. Вон отсюда! Так все и узнали, что сэр Матиуш для кронпринца представляет гораздо большую ценность, чем какая-то я. Не могу сказать, что я как-либо расстроилась, но студенты начали массово бросать на меня сочувствующие взгляды. Мне оставалось лишь радоваться наличию маски.",Елена Звездная,https://flibusta.su/b/img/big/161051.jpg,https://flibusta.su/book/161051-vtoroy-shans-kniga-vtoraya/d/?f=epub
235,"Все ведьмы – стервы, или Ректору больше (не) наливать",2023 год.,4.84,"Любовное фэнтези, Магические академии, Юмористическое фэнтези

","Все ведьмы – стервы? Ну нет! Это не мы такие. Это обстоятельства вынуждают действовать рисково и радикально. А как иначе, если тебя вместе с двумя подругами переводят учиться из любимой ведьминской академии к магам? А мне так и вовсе «повезло» встретить своего будущего ректора по дороге на учебу, а потом еще и подлить ему в напиток любовное зелье. Я-то рассчитывала, что он больше никогда меня не увидит, и эффект от зелья скоро пройдет. Но все пошло не по плану… Эй-эй! Ректору зелье больше не наливать!",Катерина Цвик,https://flibusta.su/b/img/big/170784.jpg,https://flibusta.su/book/170784-vse-vedmyistervyi-ili-rektoru-bolshe-ne-nalivat/d/?f=epub
236,Незаконный наследник. Стать сильнее,2024 год.,4.85,"Боевая фантастика, Попаданцы

","Дед нашелся. Теперь Константину вернуться бы к учебе, к балу готовиться, по клубам пройтись... Ага, размечтался. Покой Кернам только снится.",Алекс Ключевской (Лёха),https://flibusta.su/b/img/big/196920.jpg,https://flibusta.su/book/196920-nezakonnyiy-naslednik-stat-silnee/d/?f=epub
237,Последний мерзавец,2024 год.,4.76,"Совр. романы, Эротические романы

","Последний мерзавец – так шептались о моем сводном брате в городе. Однако репутация дебошира и бабника лишь подогревала интерес к нему женской половины населения. Дамы любили его так же сильно, как их мужья ненавидели. Однажды очередь дошла и до меня, и теперь я не знаю, как жить дольше.– Значит, все, что говорили о вас, это правда?! – мечусь взглядом между ними двумя. – Все это время вы встречались за моей спиной?..Илья молчит. Шевеля челюстью, мрачно смотрит на меня и молчит.",Ольга Сергеевна Рузанова,https://flibusta.su/b/img/big/214262.jpg,https://flibusta.su/book/214262-posledniy-merzavets/d/?f=epub
238,Искажающие Реальность. Книга 11. Неприемлемая жертва,2023 год.,4.81,"Боевая фантастика, Космическая фантастика

","Земля вышла из подчинения сюзеренов и объявила о своей независимости. Естественно, такой смелый шаг не мог остаться незамеченным для сильных соседей по космосу, имеющих агрессивные планы на пригодную к заселению излишне самостоятельную планету. Тучи сгущаются, до истечения срока безопасности остаётся всё меньше времени, а хороших линий вероятного будущего для человечества Земли и его союзников что-то не наблюдается, несмотря на все старания Пожирателя Комара и его уникальные возможности. Остаётся искать совета у той, кто никогда не ошибалась и знала всё на свете – Великой Первой Самки миелонской расы. И пусть жила Великая многие тысячи лет назад, разве может стать время препятствие для того, кто способен управлять хронопотоками и работать с реальностями?",Михаил Атаманов,https://flibusta.su/b/img/big/146705.jpg,https://flibusta.su/book/146705-iskazhayuschie-realnost11/d/?f=epub
239,Объект контроля,2023 год.,4.75,"Боевая фантастика, Боевое фэнтези, Героическая фантастика, Космическая фантастика, Научная фантастика

","Галактику разделяет надвое невидимый сферический барьер, по одну сторону которого действуют привычные нам физические законы, а по другую люди способны к прямому управлению темной энергией. Граница проходит по рукаву Ориона, и Земле не повезло оказаться на рубеже, где столкнулись две цивилизации, ведущие агрессивную космическую экспансию… В основе могущества одной из них лежат технологии, намного опередившие земные, а стержнем другой стало то, что на Земле назвали бы магией. Полтора века назад обе цивилизации сошлись в сражении за Солнечную систему, и в тот момент судьба примитивных аборигенов, населявших третью планету, их совершенно не интересовала. Спустя сто пятьдесят лет среди потомков немногих выживших землян эта схватка известна, как Чужая война.",Макс Глебов,https://flibusta.su/b/img/big/189419.jpg,https://flibusta.su/book/189419-obekt-kontrolya/d/?f=epub
240,Забаненный-2,2024 год.,4.84,"Боевая фантастика, Боевое фэнтези

","Приключения Пса из Забытой Стаи продолжаются! Хардкор, будущее со всеми его плюсами и минусами, выживание героя любой ценой в реальном и виртуальном мирах. Без постоянной крыши над головой, преследуемый полицией, беспощадной корпорацией и наёмными убийцами, герой продолжает скрываться и изо всех сил пытается выжить. И при этом использует каждую свободную минуту на то, чтобы зайти в виртуальный мир за Пса из Забытой Стаи и ещё хоть на шаг приблизиться к своей мечте: далёким и манящим сокровищам сурового ассасина Шэдоу Кейна, навсегда забаненного администрацией ""Расколотой Империи Онлайн"", однако успевшего перед этим потрясти весь виртуальный мир. Новые и старые друзья, любовь и предательство, бескомпромиссная борьба за трон зверолюдей и суровая игра на режиме, не прощающем ошибок. Читайте, и вы точно не останетесь равнодушными!",Михаил Атаманов,https://flibusta.su/b/img/big/214237.jpg,https://flibusta.su/book/214237-zabanennyiy-2/d/?f=epub
